Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
Mammoth Yoga Festival 2024,https://www.eventbrite.com/e/mammoth-yoga-festival-2024-tickets-698467183147?aff=ebdssbdestsearch,,N/A,"Mammoth Lakes Po Box 100 Pmb 126 PMB 126 Mammoth Lakes, CA 93546",Mammoth Yoga Festival,http://www.mammothyogafestival.com,https://www.facebook.com/mammothyogafestival,N/A,N/A
Mammoth Yoga Festival 2024,https://www.eventbrite.com/e/mammoth-yoga-festival-2024-tickets-698467183147?aff=ebdssbdestsearch,,N/A,"Mammoth Lakes Po Box 100 Pmb 126 PMB 126 Mammoth Lakes, CA 93546",Mammoth Yoga Festival,http://www.mammothyogafestival.com,https://www.facebook.com/mammothyogafestival,N/A,N/A
Candy Cane Handmade Craft n Art Fair,https://www.eventbrite.com/e/candy-cane-handmade-craft-n-art-fair-tickets-671503022617?aff=ebdssbdestsearch,,"Fri, Dec 8 •  10:00 AM ","Community Center of Oakhurst 39800 Fresno Flats Road Oakhurst, CA 93644",T Minter,N/A,N/A,N/A,N/A
Candy Cane Handmade Craft n Art Fair,https://www.eventbrite.com/e/candy-cane-handmade-craft-n-art-fair-tickets-671503022617?aff=ebdssbdestsearch,,N/A,"Community Center of Oakhurst 39800 Fresno Flats Road Oakhurst, CA 93644",T Minter,N/A,N/A,N/A,N/A
Christmas Exhibit | Exposition de Noël,https://www.eventbrite.com/e/christmas-exhibit-exposition-de-noel-tickets-723931848647?aff=ebdssbdestsearch,,"Sun, Dec 3 •  1:00 PM ","Annëken House 19905 County Rd 24 Dunvegan, ON K0K 1J0 Canada",Ann Brosseau,http://www.annbrosseau-artiste.com,N/A,N/A,N/A
Christmas Exhibit | Exposition de Noël,https://www.eventbrite.com/e/christmas-exhibit-exposition-de-noel-tickets-723931848647?aff=ebdssbdestsearch,,N/A,"Annëken House 19905 County Rd 24 Dunvegan, ON K0K 1J0 Canada",Ann Brosseau,http://www.annbrosseau-artiste.com,N/A,N/A,N/A
2023 Fresno Whiskey Festival,https://www.eventbrite.com/e/2023-fresno-whiskey-festival-tickets-676672023237?aff=ebdssbdestsearch,,"Sat, Oct 21 •  4:00 PM ","The Standard Restaurant and Lounge 9455 Fort Washington Road Fresno, CA 93730",The Standard Restaurant and Lounge,N/A,https://www.facebook.com/standardfresno,https://www.twitter.com/standardfresno,N/A
2023 Fresno Whiskey Festival,https://www.eventbrite.com/e/2023-fresno-whiskey-festival-tickets-676672023237?aff=ebdssbdestsearch,,N/A,"The Standard Restaurant and Lounge 9455 Fort Washington Road Fresno, CA 93730",The Standard Restaurant and Lounge,N/A,https://www.facebook.com/standardfresno,https://www.twitter.com/standardfresno,N/A
6th Annual Chili For Charity Harvest Fest,https://www.eventbrite.com/e/6th-annual-chili-for-charity-harvest-fest-tickets-716734982627?aff=ebdssbdestsearch,,"Sat, Nov 4 •  12:00 PM ","Woodward Park Group Activity Area 7775 N Friant Rd Fresno, CA 93720",Avila's Cancer Fund,N/A,https://www.facebook.com/events/178466009467921,N/A,N/A
6th Annual Chili For Charity Harvest Fest,https://www.eventbrite.com/e/6th-annual-chili-for-charity-harvest-fest-tickets-716734982627?aff=ebdssbdestsearch,,N/A,"Woodward Park Group Activity Area 7775 N Friant Rd Fresno, CA 93720",Avila's Cancer Fund,N/A,https://www.facebook.com/events/178466009467921,N/A,N/A
WHH Oktoberfest,https://www.eventbrite.com/e/whh-oktoberfest-tickets-719431367587?aff=ebdssbdestsearch,,"Thu, Oct 26 •  4:00 PM ","Wiebe Hinton Hambalek, LLP 7090 N. Marks Avenue, #104 Fresno, CA 93711","Wiebe Hinton Hambalek, LLP",N/A,N/A,N/A,N/A
WHH Oktoberfest,https://www.eventbrite.com/e/whh-oktoberfest-tickets-719431367587?aff=ebdssbdestsearch,,N/A,"Wiebe Hinton Hambalek, LLP 7090 N. Marks Avenue, #104 Fresno, CA 93711","Wiebe Hinton Hambalek, LLP",N/A,N/A,N/A,N/A
Fall Fest,https://www.eventbrite.com/e/fall-fest-tickets-735899143147?aff=ebdssbdestsearch,,"Sat, Oct 28 •  11:00 AM ","Large Park 4424 N Millbrook Ave Fresno, CA 93726",City of Fresno Council President Tyler Maxwell,https://www.fresno.gov/citycouncil/district-4/,N/A,N/A,N/A
Fall Fest,https://www.eventbrite.com/e/fall-fest-tickets-735899143147?aff=ebdssbdestsearch,,N/A,"Large Park 4424 N Millbrook Ave Fresno, CA 93726",City of Fresno Council President Tyler Maxwell,https://www.fresno.gov/citycouncil/district-4/,N/A,N/A,N/A
Copy of Santa's Bag Presents the 13th Annual Fall Boutique,https://www.eventbrite.com/e/copy-of-santas-bag-presents-the-13th-annual-fall-boutique-tickets-719006697387?aff=ebdssbdestsearch,,Saturday • 9:00 AM,"4215 N Wilson Ave 4215 North Wilson Avenue Fresno, CA 93704",Santa's Bag,N/A,N/A,N/A,N/A
Copy of Santa's Bag Presents the 13th Annual Fall Boutique,https://www.eventbrite.com/e/copy-of-santas-bag-presents-the-13th-annual-fall-boutique-tickets-719006697387?aff=ebdssbdestsearch,,N/A,"4215 N Wilson Ave 4215 North Wilson Avenue Fresno, CA 93704",Santa's Bag,N/A,N/A,N/A,N/A
Santa's Bag Presents the 13th Annual Fall Boutique,https://www.eventbrite.com/e/santas-bag-presents-the-13th-annual-fall-boutique-tickets-719004641237?aff=ebdssbdestsearch,,Friday • 9:00 AM,"4215 N Wilson Ave 4215 North Wilson Avenue Fresno, CA 93704",Santa's Bag,N/A,N/A,N/A,N/A
Santa's Bag Presents the 13th Annual Fall Boutique,https://www.eventbrite.com/e/santas-bag-presents-the-13th-annual-fall-boutique-tickets-719004641237?aff=ebdssbdestsearch,,N/A,"4215 N Wilson Ave 4215 North Wilson Avenue Fresno, CA 93704",Santa's Bag,N/A,N/A,N/A,N/A
"""THE VINTAGE SCARE"" Vintage Faire at Manchester Ce",https://www.eventbrite.com/e/the-vintage-scare-vintage-faire-at-manchester-ce-tickets-728590292177?aff=ebdssbdestsearch,,"Sat, Oct 28 •  11:00 AM ","The New Manchester 1901 East Shields Avenue Fresno, CA 93726",NES RELICS,N/A,N/A,N/A,N/A
"""THE VINTAGE SCARE"" Vintage Faire at Manchester Ce",https://www.eventbrite.com/e/the-vintage-scare-vintage-faire-at-manchester-ce-tickets-728590292177?aff=ebdssbdestsearch,,N/A,"The New Manchester 1901 East Shields Avenue Fresno, CA 93726",NES RELICS,N/A,N/A,N/A,N/A
Copy of Copy of Santa's Bag Presents the 13th Annual Fall Boutique,https://www.eventbrite.com/e/copy-of-copy-of-santas-bag-presents-the-13th-annual-fall-boutique-tickets-719007038407?aff=ebdssbdestsearch,,Sunday • 11:00 AM,"4215 N Wilson Ave 4215 North Wilson Avenue Fresno, CA 93704",Santa's Bag,N/A,N/A,N/A,N/A
Copy of Copy of Santa's Bag Presents the 13th Annual Fall Boutique,https://www.eventbrite.com/e/copy-of-copy-of-santas-bag-presents-the-13th-annual-fall-boutique-tickets-719007038407?aff=ebdssbdestsearch,,N/A,"4215 N Wilson Ave 4215 North Wilson Avenue Fresno, CA 93704",Santa's Bag,N/A,N/A,N/A,N/A
"2023 The Avalanche Sale Fresno, Ski & Snowboard Swap, Oct 14 - 15",https://www.eventbrite.com/e/2023-the-avalanche-sale-fresno-ski-snowboard-swap-oct-14-15-tickets-673823342757?aff=ebdssbdestsearch,,Saturday • 11:00 AM,"Fresno Convention & Entertainment Center 848 M Street Fresno, CA 93721",The Avalanche Sale,N/A,https://www.facebook.com/470573064238848,N/A,N/A
"2023 The Avalanche Sale Fresno, Ski & Snowboard Swap, Oct 14 - 15",https://www.eventbrite.com/e/2023-the-avalanche-sale-fresno-ski-snowboard-swap-oct-14-15-tickets-673823342757?aff=ebdssbdestsearch,,N/A,"Fresno Convention & Entertainment Center 848 M Street Fresno, CA 93721",The Avalanche Sale,N/A,https://www.facebook.com/470573064238848,N/A,N/A
Bailes del Sur,https://www.eventbrite.com/e/bailes-del-sur-tickets-706132299717?aff=ebdssbdestsearch,,"Sat, Nov 4 •  3:00 PM ","Central East High School, North Cornelia Avenue, Fresno, CA, USA 3535 North Cornelia Avenue Fresno, CA 93722",N/A,N/A,N/A,N/A,N/A
Bailes del Sur,https://www.eventbrite.com/e/bailes-del-sur-tickets-706132299717?aff=ebdssbdestsearch,,N/A,"Central East High School, North Cornelia Avenue, Fresno, CA, USA 3535 North Cornelia Avenue Fresno, CA 93722",N/A,N/A,N/A,N/A,N/A
Gleanings for the Hungry-Heartland Charter School,https://www.eventbrite.com/e/gleanings-for-the-hungry-heartland-charter-school-tickets-718074749907?aff=ebdssbdestsearch,,"Tue, Nov 7 •  9:00 AM ","Gleanings for the Hungry 43029 Road 104 Dinuba, CA 93618",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Gleanings for the Hungry-Heartland Charter School,https://www.eventbrite.com/e/gleanings-for-the-hungry-heartland-charter-school-tickets-718074749907?aff=ebdssbdestsearch,,N/A,"Gleanings for the Hungry 43029 Road 104 Dinuba, CA 93618",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Local Author Fair,https://www.eventbrite.com/e/local-author-fair-tickets-717384344887?aff=ebdssbdestsearch,,"Sat, Oct 28 •  1:00 PM ","Merced County Library 2100 O Street Merced, CA 95340",UC Merced Center for the Humanities,N/A,N/A,N/A,N/A
Local Author Fair,https://www.eventbrite.com/e/local-author-fair-tickets-717384344887?aff=ebdssbdestsearch,,N/A,"Merced County Library 2100 O Street Merced, CA 95340",UC Merced Center for the Humanities,N/A,N/A,N/A,N/A
Merced County Nut Festival,https://www.eventbrite.com/e/merced-county-nut-festival-tickets-712648931137?aff=ebdssbdestsearch,,"Sat, Oct 21 •  10:00 AM ","Merced County Fair 900 Martin Luther King Junior Way Merced, CA 95341",Women’s Spotlight Network,N/A,N/A,N/A,N/A
Merced County Nut Festival,https://www.eventbrite.com/e/merced-county-nut-festival-tickets-712648931137?aff=ebdssbdestsearch,,N/A,"Merced County Fair 900 Martin Luther King Junior Way Merced, CA 95341",Women’s Spotlight Network,N/A,N/A,N/A,N/A
Mtn Christian Fellowship's Annual Craft Fair & Holiday Boutique,https://www.eventbrite.com/e/mtn-christian-fellowships-annual-craft-fair-holiday-boutique-tickets-722510938667?aff=ebdssbdestsearch,,"Sat, Dec 2 •  10:00 AM ","Mountain Christian Fellowship 3488 E. Highway 4 Murphys, CA 95247",Mountain Christian Fellowship Church,http://mtnchristianfellowship.org/,N/A,N/A,N/A
Mtn Christian Fellowship's Annual Craft Fair & Holiday Boutique,https://www.eventbrite.com/e/mtn-christian-fellowships-annual-craft-fair-holiday-boutique-tickets-722510938667?aff=ebdssbdestsearch,,N/A,"Mountain Christian Fellowship 3488 E. Highway 4 Murphys, CA 95247",Mountain Christian Fellowship Church,http://mtnchristianfellowship.org/,N/A,N/A,N/A
Winterfest hosted by CSEA 252,https://www.eventbrite.com/e/winterfest-hosted-by-csea-252-tickets-731341581357?aff=ebdssbdestsearch,,"Sat, Dec 2 •  6:00 PM ","Blaker Brewing - The Tarmac, Airdrome Entry, Atwater, CA, USA 1930 Airdrome Entry Atwater, CA 95301",N/A,N/A,N/A,N/A,N/A
Winterfest hosted by CSEA 252,https://www.eventbrite.com/e/winterfest-hosted-by-csea-252-tickets-731341581357?aff=ebdssbdestsearch,,N/A,"Blaker Brewing - The Tarmac, Airdrome Entry, Atwater, CA, USA 1930 Airdrome Entry Atwater, CA 95301",N/A,N/A,N/A,N/A,N/A
Pumpkin Painting Party- Heartland Charter School,https://www.eventbrite.com/e/pumpkin-painting-party-heartland-charter-school-tickets-722043831537?aff=ebdssbdestsearch,,"Mon, Oct 30 •  10:00 AM ","Riverway Sports Park 3611 North Dinuba Boulevard Visalia, CA 93291",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Pumpkin Painting Party- Heartland Charter School,https://www.eventbrite.com/e/pumpkin-painting-party-heartland-charter-school-tickets-722043831537?aff=ebdssbdestsearch,,N/A,"Riverway Sports Park 3611 North Dinuba Boulevard Visalia, CA 93291",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
PRIDE Visalia 2023,https://www.eventbrite.com/e/pride-visalia-2023-tickets-629607160967?aff=ebdssbdestsearch,,Saturday • 11:00 AM,"Valley Strong Ballpark 300 North Giddings Street Visalia, CA 93291",The Source LGBT+ Center,http://thesourcelgbt.org,https://www.facebook.com/thesourcelgbt,https://www.twitter.com/thesourcelgbt,N/A
PRIDE Visalia 2023,https://www.eventbrite.com/e/pride-visalia-2023-tickets-629607160967?aff=ebdssbdestsearch,,N/A,"Valley Strong Ballpark 300 North Giddings Street Visalia, CA 93291",The Source LGBT+ Center,http://thesourcelgbt.org,https://www.facebook.com/thesourcelgbt,https://www.twitter.com/thesourcelgbt,N/A
2023 Blocktoberfest,https://www.eventbrite.com/e/2023-blocktoberfest-tickets-723089118017?aff=ebdssbdestsearch,,"Fri, Oct 20 •  4:30 PM ","901 E Main St, Visalia, CA 93292 901 East Main Street Visalia, CA 93292",QK - page managed by HR Director,N/A,N/A,N/A,N/A
2023 Blocktoberfest,https://www.eventbrite.com/e/2023-blocktoberfest-tickets-723089118017?aff=ebdssbdestsearch,,N/A,"901 E Main St, Visalia, CA 93292 901 East Main Street Visalia, CA 93292",QK - page managed by HR Director,N/A,N/A,N/A,N/A
"2023  Golden West High School ""Back in School Car Show""",https://www.eventbrite.com/e/2023-golden-west-high-school-back-in-school-car-show-registration-488706463187?aff=ebdssbdestsearch,,Saturday • 7:00 AM,"Golden West High School 1717 N McAuliff Street Visalia, CA 93292","Friends of Golden West, Inc. (501c3)",N/A,N/A,N/A,N/A
"2023  Golden West High School ""Back in School Car Show""",https://www.eventbrite.com/e/2023-golden-west-high-school-back-in-school-car-show-registration-488706463187?aff=ebdssbdestsearch,,N/A,"Golden West High School 1717 N McAuliff Street Visalia, CA 93292","Friends of Golden West, Inc. (501c3)",N/A,N/A,N/A,N/A
The Exeter Fall Festival Car Cruise In,https://www.eventbrite.com/e/the-exeter-fall-festival-car-cruise-in-tickets-702027993627?aff=ebdssbdestsearch,,Saturday • 8:00 AM,"North E Street North E Street Exeter, CA 93221",Exeter Chamber of Commerce,N/A,https://www.facebook.com/exeterchamber,https://www.twitter.com/ExeterChamberCo,N/A
The Exeter Fall Festival Car Cruise In,https://www.eventbrite.com/e/the-exeter-fall-festival-car-cruise-in-tickets-702027993627?aff=ebdssbdestsearch,,N/A,"North E Street North E Street Exeter, CA 93221",Exeter Chamber of Commerce,N/A,https://www.facebook.com/exeterchamber,https://www.twitter.com/ExeterChamberCo,N/A
2023 Taste The Arts - Artist Booth Registration,https://www.eventbrite.com/e/2023-taste-the-arts-artist-booth-registration-tickets-457272804267?aff=ebdssbdestsearch,,Saturday • 10:00 AM,"Garden Street Plaza Intersection of Center Ave. & Garden St. Visalia, CA 93291",The Arts Consortium,N/A,https://www.facebook.com/ArtsConsortium,https://www.twitter.com/Arts_Consortium,N/A
2023 Taste The Arts - Artist Booth Registration,https://www.eventbrite.com/e/2023-taste-the-arts-artist-booth-registration-tickets-457272804267?aff=ebdssbdestsearch,,N/A,"Garden Street Plaza Intersection of Center Ave. & Garden St. Visalia, CA 93291",The Arts Consortium,N/A,https://www.facebook.com/ArtsConsortium,https://www.twitter.com/Arts_Consortium,N/A
Visalia Entrepreneur Fair-Heartland Charter School,https://www.eventbrite.com/e/visalia-entrepreneur-fair-heartland-charter-school-tickets-732047552937?aff=ebdssbdestsearch,,"Wed, Dec 6 •  10:00 AM ","Gateway Church of Visalia 1100 South Sowell Street Visalia, CA 93277",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Visalia Entrepreneur Fair-Heartland Charter School,https://www.eventbrite.com/e/visalia-entrepreneur-fair-heartland-charter-school-tickets-732047552937?aff=ebdssbdestsearch,,N/A,"Gateway Church of Visalia 1100 South Sowell Street Visalia, CA 93277",Heartland Charter School,https://heartlandcharterschool.com/,N/A,N/A,N/A
Exeter Fall Festival Parade,https://www.eventbrite.com/e/exeter-fall-festival-parade-registration-711639973317?aff=ebdssbdestsearch,,Saturday • 9:00 AM,"Exeter Art Gallery and Museum 125 S B St Exeter, CA 93221",Exeter Chamber of Commerce,N/A,https://www.facebook.com/exeterchamber,https://www.twitter.com/ExeterChamberCo,N/A
Exeter Fall Festival Parade,https://www.eventbrite.com/e/exeter-fall-festival-parade-registration-711639973317?aff=ebdssbdestsearch,,N/A,"Exeter Art Gallery and Museum 125 S B St Exeter, CA 93221",Exeter Chamber of Commerce,N/A,https://www.facebook.com/exeterchamber,https://www.twitter.com/ExeterChamberCo,N/A
